,UNITDESC,STNAME_ORD,XSTRLO,XSTRHI,ARTCLASS,SPEEDLIMIT,SURFACETYPE_1,PVMTCONDINDX1,PVMTCONDINDX2,TRANCLASS,SLOPE_PCT,SHAPE_Length
7830,S HUDSON ST BETWEEN 48TH E AVE S AND 49TH W AVE S,S HUDSON ST,48TH E AVE S,49TH W AVE S,0.0,20.0,PCC,68.0,0.0,0,3.0,171.846880751896
7831,S INDUSTRIAL WB WAY BETWEEN U-TURN RD AND 7TH AVE S,S INDUSTRIAL WAY,U-TURN RD,7TH AVE S,2.0,25.0,PCC,76.0,0.0,3,0.0,465.907898243067
7832,S INGERSOLL PL BETWEEN 20TH AVE S AND DEAD END,S INGERSOLL PL,20TH AVE S,DEAD END,0.0,20.0,PCC,98.0,0.0,0,0.0,417.739481829715
7833,S JACKSON PL BETWEEN RAINIER AVE S AND 16TH AVE S,S JACKSON PL,RAINIER AVE S,16TH AVE S,0.0,20.0,ST,83.0,0.0,0,6.0,538.495879438944
7834,S JACKSON ST BETWEEN ALASKAN WAY S AND ALASKAN E RDWY WAY S,S JACKSON ST,ALASKAN WAY S,ALASKAN E RDWY WAY S,1.0,25.0,AC/PCC,62.0,0.0,0,0.0,62.5412788129419
7835,S JACKSON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,S JACKSON ST,1ST AVE S,OCCIDENTAL AVE S,1.0,25.0,AC/PCC,78.0,45.0,3,1.0,322.122254836571
7836,S JACKSON ST BETWEEN 17TH AVE S AND 18TH AVE S,S JACKSON ST,17TH AVE S,18TH AVE S,2.0,25.0,AC/PCC,84.0,0.0,3,6.0,321.823930377566
7837,S JACKSON ST BETWEEN 20TH AVE S AND 20TH PL S,S JACKSON ST,20TH AVE S,20TH PL S,2.0,25.0,AC/PCC,70.0,0.0,3,3.0,418.700792154926
7838,S JACKSON ST BETWEEN SHORT PL S AND 30TH AVE S,S JACKSON ST,SHORT PL S,30TH AVE S,3.0,25.0,AC/PCC,75.0,0.0,3,5.0,150.778848250332
7839,S JUDKINS ST BETWEEN 26TH E AVE S AND M L KING JR WAY S,S JUDKINS ST,26TH E AVE S,M L KING JR WAY S,0.0,20.0,ST,0.0,0.0,4,9.0,213.044382402448
7840,S JUDKINS ST BETWEEN YAKIMA AVE S AND 30TH AVE S,S JUDKINS ST,YAKIMA AVE S,30TH AVE S,0.0,20.0,PCC,67.0,0.0,0,18.0,251.676087391294
